No,VoucherType,Quantity,Sales,Date
624,1000 Birr,2,2000,11/23/2021
625,500 Birr,1,500,11/23/2021
626,25 Birr,33393,834825,11/22/2021
627,50 Birr,11638,581900,11/22/2021
628,100 Birr,3739,373900,11/22/2021
629,15 Birr,45498,682470,11/22/2021
630,5 Birr,49976,249880,11/22/2021
631,10 Birr,95612,956120,11/22/2021
632,250 Birr,4,1000,11/22/2021
633,500 Birr,4,2000,11/22/2021
634,1000 Birr,2,2000,11/22/2021
635,5 Birr,27735,138675,11/21/2021
636,10 Birr,55348,553480,11/21/2021
637,15 Birr,24876,373140,11/21/2021
638,25 Birr,18290,457250,11/21/2021
639,100 Birr,2177,217700,11/21/2021
640,500 Birr,10,5000,11/21/2021
641,250 Birr,4,1000,11/21/2021
642,1000 Birr,5,5000,11/21/2021
643,50 Birr,7595,379750,11/21/2021
644,10 Birr,78176,781760,11/20/2021
645,15 Birr,35417,531255,11/20/2021
646,25 Birr,25230,630750,11/20/2021
647,5 Birr,35831,179155,11/20/2021
648,100 Birr,2306,230600,11/20/2021
649,50 Birr,9239,461950,11/20/2021
650,250 Birr,3,750,11/20/2021
651,500 Birr,4,2000,11/20/2021
652,1000 Birr,2,2000,11/20/2021
653,10 Birr,74579,745790,11/19/2021
654,15 Birr,38571,578565,11/19/2021
655,25 Birr,22147,553675,11/19/2021
656,100 Birr,2954,295400,11/19/2021
657,50 Birr,9025,451250,11/19/2021
658,5 Birr,34671,173355,11/19/2021
659,250 Birr,4,1000,11/19/2021
660,500 Birr,13,6500,11/19/2021
661,1000 Birr,3,3000,11/19/2021
662,15 Birr,31985,479775,11/18/2021
663,10 Birr,65051,650510,11/18/2021
664,50 Birr,9266,463300,11/18/2021
665,25 Birr,22711,567775,11/18/2021
